brand;product_name;category;subcategory;price_pln;size_ml;skin_types;skin_concerns;key_ingredients;avoid_if;fragrance_free;pregnancy_safe;barrier_friendly;comedogenic_risk;recommended_step;usage_time;usage_frequency;short_reason;source_url
BasicLab;Serum z retinalem 0,05%, Ujędrnienie i Wygładzenie;serum;retinol;169.90;30;dojrzała|normalna|mieszana;zmarszczki|utrata jędrności|przebarwienia|tekstura;retinal 0.05%|skwalan|witamina E|koenzym Q10|CICA;ciąża|karmienie piersią|kwasy AHA/BHA (w tej samej rutynie);tak;nie;nie;niskie;serum;wieczorem;2-3x/tydzień (stopniowo codziennie);Retinal (retinaldehyd) – silniejszy od retinolu, szybsze efekty anti-aging. Wymaga adaptacji skóry.;https://basiclab.shop/pl/products/serum-z-retinalem-0-05-ujedrnienie-i-wygladzenie-341
BasicLab;Serum z retinalem 0,10%, Ujędrnienie i Wygładzenie;serum;retinol;199.90;30;dojrzała|normalna;zmarszczki|utrata jędrności|przebarwienia|głęboka odnowa;retinal 0.10%|skwalan|witamina E|koenzym Q10|CICA;ciąża|karmienie piersią|kwasy AHA/BHA|wrażliwa skóra|brak doświadczenia z retinoidami;tak;nie;nie;niskie;serum;wieczorem;2-3x/tydzień;Najsilniejszy retinal w ofercie – dla skóry zaadaptowanej do retinoidów. Intensywne efekty przeciwzmarszczkowe.;https://basiclab.shop/pl/products/serum-z-retinalem-0-10-ujedrnienie-i-wygladzenie-343
BasicLab;Serum z Adapinoidem 0,1%, Redukcja Niedoskonałości;serum;na niedoskonałości;149.90;30;tłusta|mieszana|trądzikowa;trądzik|zaskórniki|niedoskonałości|sebum;Adapinoid (ester kwasu adapalenu) 0.1%|niacynamid|prebiotyki;ciąża|karmienie piersią|retinoidy (w tej samej rutynie);tak;nie;nie;niskie;serum;wieczorem;codziennie (po adaptacji);Adapinoid to kosmetyczny ester adapalenu – skuteczny na zaskórniki i trądzik bez recepty. Reguluje keratynizację.;https://basiclab.shop/pl/products/serum-z-adapinoidem-0-1-redukcja-niedoskonalosci-905
BasicLab;Nawilżające serum poprawiające napięcie z 3% HA, 5% aminokwasów i 15% peptydów biomimetycznych;serum;nawilżające;169.90;30;sucha|wrażliwa|dojrzała|normalna;odwodnienie|zmarszczki|utrata jędrności;kwas hialuronowy 3%|aminokwasy 5%|peptydy biomimetyczne 15%;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Potrójne nawilżanie i napięcie – HA, aminokwasy i peptydy w jednym. Dla bardzo odwodnionej skóry dojrzałej.;https://basiclab.shop/pl/products/nawilzajace-serum-poprawiajace-napiecie-z-3-kwasu-hialuronowego-5-kompleksu-aminokwasow-i-15-kompleksu-peptydow-biomimetycznych-631
BasicLab;Serum z niacynamidem 5%, Zwężenie Porów i Redukcja Niedoskonałości;serum;regulujące;89.90;30;tłusta|mieszana|trądzikowa|normalna;pory|sebum|niedoskonałości|nierówny koloryt;niacynamid 5%|prebiotyki|kwas hialuronowy;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Klasyczny niacynamid – reguluje sebum, zmniejsza widoczność porów i wyrównuje koloryt. Bezpieczny dla większości skór.;https://basiclab.shop/pl/products/serum-z-niacynamidem-5-zwezenie-porow-i-redukcja-niedoskonalosci-466
BasicLab;Serum z ektoiną 2%, Ukojenie i Wzmocnienie;serum;kojące;149.90;30;wrażliwa|naczynkowa|sucha|odwodniona;zaczerwienienia|podrażnienia|bariera|reaktywność;ektoina 2%|trehaloza|kwas hialuronowy|pantenol;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Ektoina chroni komórki przed stresem – idealne dla skóry reaktywnej, naczynkowej i po zabiegach.;https://basiclab.shop/pl/products/serum-z-ektoina-2-ukojenie-i-wzmocnienie-468
BasicLab;Serum z kwasem azelainowym 5%, Redukcja Zaczerwienień;serum;na zaczerwienienia;99.90;30;wrażliwa|naczynkowa|trądzikowa|mieszana;zaczerwienienia|trądzik różowaty|przebarwienia potrądzikowe|niedoskonałości;kwas azelainowy 5%|niacynamid|prebiotyki;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Kwas azelainowy – wielozadaniowy: redukuje zaczerwienienia, przebarwienia i stan zapalny. Bezpieczny w ciąży.;https://basiclab.shop/pl/products/serum-z-kwasem-azelainowym-5-redukcja-zaczerwienien-339
BasicLab;Punktowe serum na zmiany mikrozapalne z 7% AHA/BHA, 3% kwasu azelainowego i laktoferyną;serum;punktowe;69.90;15;tłusta|mieszana|trądzikowa;stany zapalne|pryszcze|zaskórniki;AHA/BHA 7%|kwas azelainowy 3%|laktoferyna;bardzo wrażliwa skóra|uszkodzona bariera;tak;nie;nie;niskie;leczenie punktowe;wieczorem;według potrzeb;Punktowy atak na stany zapalne – nakładać bezpośrednio na pryszcze. Szybko redukuje zmiany zapalne.;https://basiclab.shop/pl/products/punktowe-serum-na-zmiany-mikrozapalne-z-7-aha-bha-3-kwasu-azelainowego-i-laktoferyna-466
BasicLab;Serum z prebiotykami, Wzmocnienie i Równowaga Mikrobiomu;serum;probiotyczne;129.90;30;wrażliwa|tłusta|mieszana|trądzikowa;bariera|niedoskonałości|reaktywność|mikrobiom;prebiotyki|inulina|beta glukan|kwas hialuronowy;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Wspiera równowagę mikrobiomu skóry – dobra opcja dla skóry reaktywnej po antybiotykoterapii lub nadmiarze aktywów.;https://basiclab.shop/pl/products/serum-z-prebiotykami-wzmocnienie-i-rownowaga-mikrobiomu-337
BasicLab;Serum z kwasem hialuronowym, Nawilżenie i Odbudowa;serum;nawilżające;89.90;30;sucha|odwodniona|wrażliwa|normalna;odwodnienie|suchość|bariera;kwas hialuronowy (3 masy cząsteczkowe)|pantenol|betaina;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Klasyczne serum HA w trzech masach cząsteczkowych – nawilża na różnych poziomach naskórka. Prosta baza nawilżająca.;https://basiclab.shop/pl/products/serum-z-kwasem-hialuronowym-nawilzenie-i-odbudowa-338
BasicLab;Serum z CBD 500mg, Ukojenie i Regeneracja;serum;kojące;149.90;30;wrażliwa|naczynkowa|sucha|trądzikowa;zaczerwienienia|podrażnienia|stany zapalne|bariera;CBD 500mg|skwalan|witamina E|olej z ogórecznika;;tak;tak;tak;niskie;serum;wieczorem;codziennie;CBD o działaniu przeciwzapalnym i łagodzącym – dobre dla skóry podrażnionej, z zaczerwienieniami.;https://basiclab.shop/pl/products/serum-z-cbd-500mg-ukojenie-i-regeneracja-344
BasicLab;Serum z resweratrolem, koenzymem Q10 i filtrem z wody ryżowej, Antyoksydacja i Odbudowa;serum;antyoksydacyjne;129.90;30;dojrzała|normalna|mieszana|wrażliwa;starzenie|antyoksydacja|szary koloryt|wolne rodniki;resweratrol|koenzym Q10|filtrat z wody ryżowej|witamina E;;tak;tak;tak;niskie;serum;rano;codziennie;Silna tarcza antyoksydacyjna – resweratrol + Q10 chronią przed wolnymi rodnikami i fotostarzeniem.;https://basiclab.shop/pl/products/serum-z-resweratrolem-koenzymem-q10-i-filtrem-z-wody-ryzowej-antyoksydacja-i-odbudowa-345
BasicLab;Serum z kwasem traneksamowym 3% i witaminą C, Redukcja Przebarwień;serum;rozświetlające;129.90;30;normalna|mieszana|dojrzała|wrażliwa;przebarwienia|plamy posłoneczne|nierówny koloryt|melasma;kwas traneksamowy 3%|witamina C|niacynamid|glutation;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Kwas traneksamowy hamuje nadmierną melanogenezę – silne działanie na melasma i przebarwienia posłoneczne.;https://basiclab.shop/pl/products/serum-z-kwasem-traneksamowym-3-i-witamina-c-redukcja-przebarwien-630
BasicLab;Peptydowe serum pod oczy z 10% kompleksem peptydów, Nawilżenie i Wygładzenie;serum pod oczy;anti-aging;99.90;15;wszystkie|wrażliwa|dojrzała;zmarszczki wokół oczu|odwodnienie okolic oczu|cienie;kompleks peptydów 10%|kofeina|witamina C|kwas hialuronowy;;tak;tak;tak;niskie;serum pod oczy;rano i wieczorem;codziennie;Peptydowe serum pod oczy – nawilża, wygładza drobne zmarszczki i redukuje cienie kofeiny.;https://basiclab.shop/pl/products/peptydowe-serum-pod-oczy-z-10-kompleksem-peptydow-nawilzenie-i-wygladzenie-629
BasicLab;Serum pod oczy z 3% kofeiny i witaminami, Redukcja Cieni i Obrzęków;serum pod oczy;na cienie;79.90;15;wszystkie|wrażliwa;cienie pod oczami|obrzęki|zmęczone oczy;kofeina 3%|witamina C|witamina K|kwas hialuronowy|pantenol;;tak;tak;tak;niskie;serum pod oczy;rano;codziennie;Kofeina rozjaśnia cienie i zmniejsza obrzęki wokół oczu. Dobry poranny produkt pod oczy.;https://basiclab.shop/pl/products/serum-pod-oczy-z-3-kofeiny-i-witaminami-redukcja-cieni-i-obrzekow-467
BasicLab;Lekki krem nawilżający z trehalozą, Nawilżenie i Wygładzenie;krem;nawilżający;89.90;50;normalna|mieszana|tłusta;odwodnienie|bariera|lekkie nawilżenie;trehaloza|skwalan|kwas hialuronowy|witamina E;;tak;tak;tak;niskie;krem;rano i wieczorem;codziennie;Lekka konsystencja z trehalozą – dobrze się sprawdza pod SPF na dzień. Nie obciąża skóry mieszanej.;https://basiclab.shop/pl/products/lekki-krem-nawilzajacy-z-trehaloza-nawilzenie-i-wygladzenie-161
BasicLab;Odżywczy krem z ceramidami, Odbudowa i Odżywienie;krem;odżywczy;109.90;50;sucha|wrażliwa|naczynkowa|dojrzała;suchość|bariera|podrażnienia|ściąganie;ceramidy|skwalan|masło shea|pantenol|witamina E;tłusta skóra (zbyt bogaty);tak;tak;tak;średnie;krem;rano i wieczorem;codziennie;Bogaty krem z ceramidami – odbudowuje barierę i intensywnie odżywia. Dla suchej i wrażliwej cery.;https://basiclab.shop/pl/products/odzywczy-krem-z-ceramidami-odbudowa-i-odzywienie-162
BasicLab;Krem peptydowy, Ujędrnienie i Lifting;krem;anti-aging;149.90;50;dojrzała|normalna|sucha;zmarszczki|utrata jędrności|owal twarzy;kompleks peptydów|koenzym Q10|witamina E|skwalan|ceramidy;;tak;tak;tak;niskie;krem;rano i wieczorem;codziennie;Krem anti-aging z peptydami – wspomaga jędrność i napięcie. Dobry jako krem dzienny lub nocny dla skóry dojrzałej.;https://basiclab.shop/pl/products/krem-peptydowy-ujedrnienie-i-lifting-633
BasicLab;Krem nawilżający z prebiotykami, Równowaga i Nawilżenie;krem;probiotyczny;79.90;50;mieszana|normalna|wrażliwa|tłusta;bariera|niedoskonałości|nawilżenie|reaktywność;prebiotyki|kwas hialuronowy|pantenol|skwalan;;tak;tak;tak;niskie;krem;rano i wieczorem;codziennie;Lekki krem z prebiotykami – wspiera mikrobiom i równowagę skóry. Uniwersalny, dobry na start.;https://basiclab.shop/pl/products/krem-nawilzajacy-z-prebiotykami-rownowaga-i-nawilzenie-164
BasicLab;Krem z witaminą C, Rozświetlenie i Wygładzenie;krem;rozświetlający;109.90;50;normalna|mieszana|dojrzała;przebarwienia|szary koloryt|antyoksydacja;witamina C|witamina E|skwalan|koenzym Q10;;tak;tak;tak;niskie;krem;rano;codziennie;Krem z wit. C na dzień – rozświetla, chroni antyoksydacyjnie, dobra baza pod SPF.;https://basiclab.shop/pl/products/krem-z-witamina-c-rozswietlenie-i-wygladzenie-632
BasicLab;Peptydowy krem pod oczy z 3% kofeiny i 1% witaminy C, Redukcja Cieni;krem pod oczy;na cienie;79.90;15;wszystkie;cienie|obrzęki|zmarszczki mimiczne;kofeina 3%|witamina C 1%|peptydy|kwas hialuronowy;;tak;tak;tak;niskie;krem pod oczy;rano;codziennie;Krem pod oczy z kofeiną na dzień – zmniejsza obrzęki i rozjaśnia cienie pod oczami.;https://basiclab.shop/pl/products/peptydowy-krem-pod-oczy-z-3-kofeiny-i-1-witaminy-c-redukcja-cieni-469
BasicLab;Odżywczy krem pod oczy z ceramidami i retinalem, Wygładzenie i Napięcie;krem pod oczy;anti-aging;99.90;15;dojrzała|sucha;zmarszczki wokół oczu|suchość|utrata jędrności;ceramidy|retinal|peptydy|witamina E|skwalan;ciąża|karmienie piersią;tak;nie;tak;niskie;krem pod oczy;wieczorem;codziennie;Nocny krem pod oczy z retinalem – wygładza zmarszczki mimiczne i odżywia delikatną skórę.;https://basiclab.shop/pl/products/odzywczy-krem-pod-oczy-z-ceramidami-i-retinalem-wygladzenie-i-napiecie-470
BasicLab;Lekka emulsja ochronna SPF50+ PA++++, Zapobieganie i Ochrona;SPF;chemiczny;79.90;50;normalna|mieszana|tłusta;ochrona UV|fotostarzenie|przebarwienia;filtry UVA/UVB nowoczesne|witamina E|skwalan;;tak;tak;tak;niskie;SPF;rano;codziennie;Lekka emulsja SPF50+ – uniwersalna ochrona, nie obciąża, dobra baza pod makijaż.;https://basiclab.shop/pl/products/lekka-emulsja-ochronna-spf50-pa-zapobieganie-i-ochrona-165
BasicLab;Tonująca emulsja ochronna SPF50+ PPD 41.9;SPF;tonujący;89.90;50;normalna|mieszana|sucha;ochrona UV|przebarwienia|fotostarzenie|wyrównanie kolorytu;filtry UVA/UVB (PPD 41.9)|pigmenty tonujące|witamina E;;tak;tak;tak;niskie;SPF;rano;codziennie;Tonujący SPF50+ z bardzo wysokim PPD – lekko wyrównuje koloryt i daje silną ochronę UVA. Jeden z najlepszych na rynku PL.;https://basiclab.shop/pl/products/tonujaca-emulsja-ochronna-spf50-ppd-41-9-166
BasicLab;Ochronny krem barierowy SPF50+ z ceramidami, Prewencja i Odbudowa;SPF;barierowy;99.90;50;sucha|wrażliwa|naczynkowa;ochrona UV|bariera|suchość|podrażnienia;filtry UVA/UVB|ceramidy|skwalan|pantenol|witamina E;tłusta skóra (może być za bogaty);tak;tak;tak;niskie;SPF;rano;codziennie;SPF z ceramidami – chroni i jednocześnie odbudowuje barierę. Idealny dla suchej i wrażliwej cery.;https://basiclab.shop/pl/products/ochronny-krem-barierowy-spf50-z-ceramidami-prewencja-i-odbudowa-634
BasicLab;Ultralekki fluid ochronny SPF50+, Ochrona i Matowienie;SPF;matujący;79.90;50;tłusta|mieszana|trądzikowa;ochrona UV|nadmiar sebum|błyszczenie;filtry UVA/UVB|niacynamid|witamina E;sucha skóra (zbyt matujący);tak;tak;tak;niskie;SPF;rano;codziennie;Ultralekki fluid SPF – nie zatyka porów, matowi i kontroluje sebum. Pierwszy wybór dla tłustej skóry.;https://basiclab.shop/pl/products/ultralekki-fluid-ochronny-spf50-ochrona-i-matowienie-635
BasicLab;Tonik tonizujący z trehalozą i prebiotykami, Nawilżenie i Wzmocnienie;tonik;nawilżający;49.90;150;wszystkie|wrażliwa|sucha;odwodnienie|bariera|przygotowanie do serum;trehaloza|prebiotyki|pantenol|kwas hialuronowy;;tak;tak;tak;niskie;tonik;rano i wieczorem;codziennie;Kojący tonik na bazie trehalozy – przygotowuje skórę do dalszych kroków i wspiera barierę.;https://basiclab.shop/pl/products/tonik-tonizujacy-z-trehaloza-i-prebiotykami-nawilzenie-i-wzmocnienie-167
BasicLab;Tonik z ektoiną, Ukojenie i Wzmocnienie;tonik;kojący;59.90;150;wrażliwa|naczynkowa|sucha;zaczerwienienia|podrażnienia|reaktywność|bariera;ektoina|trehaloza|pantenol|kwas hialuronowy;;tak;tak;tak;niskie;tonik;rano i wieczorem;codziennie;Tonik z ektoiną dla bardzo wrażliwej i naczynkowej skóry – głęboko kojący i wzmacniający.;https://basiclab.shop/pl/products/tonik-z-ektoina-ukojenie-i-wzmocnienie-471
BasicLab;Primer tonizujący z niacynamidem 3%, Redukcja Porów;tonik;regulujący;49.90;150;tłusta|mieszana|trądzikowa;pory|sebum|niedoskonałości|nierówny koloryt;niacynamid 3%|prebiotyki|kwas hialuronowy;;tak;tak;tak;niskie;tonik;rano i wieczorem;codziennie;Tonik z niacynamidem – zmniejsza pory, reguluje sebum i przygotowuje skórę do serum.;https://basiclab.shop/pl/products/primer-tonizujacy-z-niacynamidem-3-redukcja-porow-472
BasicLab;Żel oczyszczający do skóry tłustej z niacynamidem i prebiotykami;żel do mycia;oczyszczający;39.90;150;tłusta|mieszana|trądzikowa;sebum|zanieczyszczenia|niedoskonałości;niacynamid|prebiotyki|betaina;sucha skóra;tak;tak;tak;niskie;oczyszczanie;rano i wieczorem;codziennie;Żel myjący dla skóry tłustej – dobrze oczyszcza bez przesuszania. Niacynamid wspiera regulację sebum.;https://basiclab.shop/pl/products/zel-oczyszczajacy-do-skory-tlustej-z-niacynamidem-i-prebiotykami-169
BasicLab;Żel oczyszczający do skóry suchej i wrażliwej z ektoiną i prebiotykami;żel do mycia;łagodny;39.90;150;sucha|wrażliwa|naczynkowa;suchość|podrażnienia|bariera|reaktywność;ektoina|prebiotyki|betaina|pantenol;;tak;tak;tak;niskie;oczyszczanie;rano i wieczorem;codziennie;Delikatny żel z ektoiną – myje bez naruszania bariery. Idealny dla suchej i wrażliwej cery.;https://basiclab.shop/pl/products/zel-oczyszczajacy-do-skory-suchej-i-wrazliwej-z-ektoina-i-prebiotykami-170
BasicLab;Pianka do mycia twarzy dla skóry wrażliwej i naczynkowej;pianka do mycia;łagodna;39.90;150;wrażliwa|naczynkowa|sucha;reaktywność|podrażnienia|suchość;prebiotyki|pantenol|betaina|ektoina;;tak;tak;tak;niskie;oczyszczanie;rano i wieczorem;codziennie;Delikatna pianka myjąca – minimalnie podrażnia, dobra dla skóry naczynkowej i atopowej.;https://basiclab.shop/pl/products/pianka-do-mycia-twarzy-dla-skory-wrazliwej-i-naczynkowej-473
BasicLab;Emulsja myjąca do skóry ultrawrażliwej z prebiotykami;emulsja myjąca;ultralekka;39.90;150;ultrawrażliwa|wrażliwa|naczynkowa|sucha;reaktywność|podrażnienia|bariera|suchość;prebiotyki|betaina|pantenol;;tak;tak;tak;niskie;oczyszczanie;rano i wieczorem;codziennie;Najdelikatniejsza forma oczyszczania w ofercie – dla skóry ultrawrażliwej i po zabiegach dermatologicznych.;https://basiclab.shop/pl/products/emulsja-myjaca-do-skory-ultrawrazliwej-z-prebiotykami-474
BasicLab;Płyn micelarny z trehalozą i prebiotykami, Nawilżenie i Oczyszczenie;płyn micelarny;demakijaż;39.90;300;wszystkie|wrażliwa|sucha;demakijaż|oczyszczanie|bariera;trehaloza|prebiotyki|pantenol|kwas hialuronowy;;tak;tak;tak;niskie;demakijaż;wieczorem;codziennie;Łagodny płyn micelarny – skuteczny demakijaż bez podrażnień. Dobry pierwszy krok oczyszczania.;https://basiclab.shop/pl/products/plyn-micelarny-z-trehaloza-i-prebiotykami-nawilzenie-i-oczyszczenie-168
BasicLab;Olejek do demakijażu i oczyszczania, Odżywienie i Oczyszczenie;olejek do demakijażu;demakijaż;59.90;150;wszystkie|sucha|normalna;demakijaż|SPF|makijaż wodoodporny;oleje roślinne|witamina E|skwalan;;tak;tak;tak;niskie;demakijaż;wieczorem;codziennie;Olejek do demakijażu – emulguje z wodą, skutecznie usuwa makijaż i SPF. Pierwszy krok double cleansing.;https://basiclab.shop/pl/products/olejek-do-demakijazu-i-oczyszczania-odzywienie-i-oczyszczenie-636
BasicLab;Peeling kwasowy 8% AHA/BHA, Złuszczanie i Wygładzenie;peeling;kwasowy;59.90;30;normalna|mieszana|tłusta;tekstura|pory|niedoskonałości|szary koloryt;kwas glikolowy|kwas salicylowy|kwas mlekowy|pantenol;wrażliwa skóra|uszkodzona bariera|ciąża (BHA);tak;nie;nie;niskie;peeling;wieczorem;1-2x/tydzień;Peeling AHA/BHA – złuszcza martwą warstwę naskórka i oczyszcza pory. Widoczna poprawa tekstury.;https://basiclab.shop/pl/products/peeling-kwasowy-8-aha-bha-zluszczanie-i-wygladzenie-475
BasicLab;Peeling kwasowy z kwasem salicylowym 2% i kwasem azelainowym, Oczyszczenie;peeling;kwasowy BHA;59.90;30;tłusta|mieszana|trądzikowa;trądzik|zaskórniki|pory|sebum;kwas salicylowy 2%|kwas azelainowy|niacynamid;ciąża|karmienie piersią|bardzo wrażliwa skóra;tak;nie;nie;niskie;peeling;wieczorem;1-2x/tydzień;Peeling BHA na niedoskonałości – rozpuszcza sebum w porach. Idealny przy zaskórnikach i trądziku.;https://basiclab.shop/pl/products/peeling-kwasowy-z-kwasem-salicylowym-2-i-kwasem-azelainowym-oczyszczenie-476
BasicLab;Peeling enzymatyczny z papainą i ananasiną, Złuszczanie i Rozświetlenie;peeling;enzymatyczny;49.90;50;wrażliwa|sucha|naczynkowa|normalna;złuszczanie|szary koloryt|nierówna tekstura;papaina|ananasin (bromelina)|pantenol|kwas hialuronowy;;tak;tak;tak;niskie;peeling;wieczorem;1-2x/tydzień;Enzymy zamiast kwasów – najłagodniejsza forma złuszczania. Bezpieczna w ciąży i dla skóry naczynkowej.;https://basiclab.shop/pl/products/peeling-enzymatyczny-z-papaina-i-ananasiną-zluszczanie-i-rozswietlenie-477
BasicLab;Maska z ektoiną 5%, Głębokie Ukojenie;maska;kojąca;69.90;50;wrażliwa|naczynkowa|sucha|odwodniona;zaczerwienienia|podrażnienia|reaktywność|odwodnienie;ektoina 5%|trehaloza|pantenol|kwas hialuronowy|skwalan;;tak;tak;tak;niskie;maska;wieczorem;1-3x/tydzień;Intensywnie kojąca maska z ektoiną – SOS dla podrażnionej skóry. Dobre zastosowanie po zabiegach.;https://basiclab.shop/pl/products/maska-z-ektoina-5-glebokie-ukojenie-637
